"","TweetId","Text"
"120",1362914619929595904,"Having grown up in Puerto Rico, I've lived through my fair share of hurricanes so I always fill up the bathtub, have supplies on hand, food etc

In the Caribbean extreme events (not the day to day) drive history and change in society. This storm will likely be one of those for TX https://t.co/v1zi7yqrqo"
"121",1362914619929595904,"Having grown up in Puerto Rico, I've lived through my fair share of hurricanes so I always fill up the bathtub, have supplies on hand, food etc

In the Caribbean extreme events (not the day to day) drive history and change in society. This storm will likely be one of those for TX https://t.co/v1zi7yqrqo"
"122",1362914617379414016,"Sen. Ted Cruz calls Mexico trip amid Texas winter crisis and power outages 'a mistake' #travelling #travel #mexico #travelmexico #yucatan #merida #progresso #cancun #playadecarmen #rivieramaya #tulum https://t.co/MH5KrZwb3R"
"123",1362914617379414016,"Sen. Ted Cruz calls Mexico trip amid Texas winter crisis and power outages 'a mistake' #travelling #travel #mexico #travelmexico #yucatan #merida #progresso #cancun #playadecarmen #rivieramaya #tulum https://t.co/MH5KrZwb3R"
"124",1362914615512817664,"Morehead City conditions at: 18:59
Temp: 39.6°F (High-Low 43.6-39.0), Humidity: 97%,  North Wind at 6.0 mph Barometer: 30.09 inHg, Rain: 1.12 in For more information, go to https://t.co/Q9l0TTd2ZG"
"125",1362914614401372160,"@monicamallon AB1091 seems like a power grab by the county over cities. Gives county supervisors control of 5 seats vs. 2 currently. San Jose gets 2 vs 5 currently. Other cities get 2 vs 5 currently."
"126",1362914614283886592,"@atrupar I think he truly thought this is what anyone would do during a bad storm. Book a last minute flight to Mexico and stay a few days a luxury resort. I mean, who among us hasn't ..."
"127",1362914613994618880,"MDOT crews work to clear Hwy 4 in Marshall County. 

Aided by today’s sunshine, snow-fighting crews were able to make progress on clearing #MShwys, but refreezing will occur tonight. 

We will get the job done — #WeDontTakeSnowDays. https://t.co/NURVpXCRcO"
"128",1362914613512208384,"“There’s a lot of similarities, between what has happened in Texas and California,”

“In both cases, you had an extreme climate or weather event. And in both cases, the states were not prepared.”

#ActOnClimate  https://t.co/aGvWnDpwvo"
"129",1362914613512208384,"“There’s a lot of similarities, between what has happened in Texas and California,”

“In both cases, you had an extreme climate or weather event. And in both cases, the states were not prepared.”

#ActOnClimate  https://t.co/aGvWnDpwvo"
"130",1362914609456381952,"@charmcarp1 Actually, Anchorage is very comparable to Iowa, weather wise."
"131",1362914609456381952,"@charmcarp1 Actually, Anchorage is very comparable to Iowa, weather wise."
"132",1362914608114257920,"@roguechimp99 @RuckertGisela @Scribulatora Yup. By allying themselves with the CPC, the Greens and NDP have shown themselves to be political opportunists who don’t deserve power. #cdnpoli"
"133",1362914606394396672,"@TheDailyShow Why does poor middle America always fall for rich assholes who only give a fuck about them bc they give them power. HE DOESNT CARE ABOUT YOU. HE CARES ABOUT AD MONEY &amp; POWER 🙄 https://t.co/aN0f2RTdvP"
"134",1362914605454954496,"let's gooOoo!! double digits 😭 power ni park seri at narae 😭 ackkk sana magtuloy-tuloy na 🙏 https://t.co/R7p286zilN"
"135",1362914600870641664,"Texas Leaders Ignored Warnings A Decade Ago That Their Power Supply Was In Danger

https://t.co/mbciYWEQAm"
"136",1362914597842415616,"#Elissa is enjoying in the snow with her dog, under the slogan “O Dunia Jinan, Jinan … Pictures.”🎵🎼🎶 https://t.co/IlXTCevBnN 
@elissakh ❄☃️🌀🧊"
"137",1362914593694232576,"Sad to see the excellent 𝗣𝗼𝗿𝘁𝗮𝗹 𝘁𝗼 𝗧𝗲𝘅𝗮𝘀 𝗛𝗶𝘀𝘁𝗼𝗿𝘆 shut down by the weather conditions in Texas. Stay safe everyone! #TexasWinterStorm2021 #TexasHistory #research 

When better weather prevails, check out https://t.co/mylTfHkpUk"
"138",1362914592758902784,"@MRKokoski @ravenashaw @Squish43172398 @therecount @allahpundit @tedcruz Only God can work miracles now maybe Cruz can do something that Hid need him to do before he took that vacation trip which is fine but Cruz already know that he was going rain, snow are hell freeze over he was going and he really did not care what the people of Texas said."
"139",1362914589038501888,"Those churches in TEXAS are empty. If they have power and electricity I hope that they open the doors and let the people in that need shelter &amp; heat and food🎉"
"140",1362914588396834816,"Normally $600, this power bill for Dallas homeowner is now $17,000. Omg https://t.co/wgzBavf4dt"
